"lang"
{ 
	"Language" "English" 
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_2"												"Feast of Souls Improvement"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_2_facet_nevermore_lasting_presence"			"+{s:bonus_crit_damage}% Feast of Souls Crit Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_2_facet_nevermore_psyche"                      "+{s:bonus_aoe_bonus}% Feast of Souls AoE Bonus"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_2_facet_nevermore_shadowmire"					"+{s:bonus_heal_amount}% Feast of Souls Heal"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_3"                                             "Presence of the Dark Lord Affects Allies"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_4"												"+{s:bonus_shadowraze_damage}% Shadowraze Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_5"												"Necromastery Stack Improvement"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_5_facet_nevermore_lasting_presence"			"+{s:bonus_damage_per_soul}% Necromastery Damage Per Soul"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_5_facet_nevermore_psyche"						"+{s:bonus_spell_amplification_per_soul}% Necromastery Spell Amp Per Soul"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_5_facet_nevermore_shadowmire"					"+{s:bonus_armor_per_soul}% Necromastery Armor and Health Regen Per Soul"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_6"												"Requiem of Souls Improvement"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_6_facet_nevermore_lasting_presence"			"+{s:bonus_attack_speed} Requiem of Souls Attack Speed"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_6_facet_nevermore_psyche"						"+{s:bonus_return_damage_percent}% Requiem of Souls Return Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_6_facet_nevermore_shadowmire"					"+{s:bonus_fear_duration} Requiem of Souls Fear Duration Per Soul Hit"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_7"												"Feast of Souls Improvement"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_7_facet_nevermore_lasting_presence"			"{s:bonus_crit_chance}x Feast of Souls Crit Chance"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_7_facet_nevermore_psyche"                      "{s:bonus_cooldown_reduction}x Feast of Souls Ability Cooldown Reduction"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_7_facet_nevermore_shadowmire"					"{s:bonus_lifeleech}x Feast of Souls Life Leech"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_8"                                             "Instant Respawn On Base Max Necromastery Stacks"
		"DOTA_Tooltip_ability_special_bonus_unique_nevermore_8_Description"                                 "If you die while your Necromastery stacks are at or above the base maximum amount, you instantly respawn."
		
		//Night Stalker
		"DOTA_Tooltip_ability_night_stalker_crippling_fear_Description"                                     "Night Stalker horrifies all nearby enemies, causing them to become silenced and miss a percentage of their attacks while near him.\n\nAt night, the effect lasts longer and he passively causes enemies within the ability's radius to miss attacks. This miss chance stacks with the active miss chance.<br>COOLDOWN TYPE: When Buff Expires"
		"DOTA_Tooltip_ability_night_stalker_crippling_fear_scepter_Description"								"Reduces cooldown of Crippling Fear and removes its duration, instead costing mana per second to maintain. The cost is lower during the night."
		"DOTA_Tooltip_ability_night_stalker_crippling_fear_miss_chance"                                     "%ACTIVE MISS CHANCE:"
		"DOTA_Tooltip_ability_night_stalker_crippling_fear_night_miss"                                      "%NIGHT PASSIVE MISS CHANCE:"
		"DOTA_Tooltip_ability_night_stalker_crippling_fear_mana_pers_day"									"DAY MANA/SEC:"
		"DOTA_Tooltip_ability_night_stalker_crippling_fear_mana_pers_night"									"NIGHT MANA/SEC:"
		"DOTA_Tooltip_ability_night_stalker_crippling_fear_ebf_changes"										"Grants passive evasion at night."
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_Description"                                "Night Stalker gains attack speed and movement speed.\nThe bonuses are reduced to %daytime_pct%%% during daytime."
		"DOTA_Tooltip_modifier_night_stalker_crippling_fear_active"                                         "Crippling Fear - Active"
		"DOTA_Tooltip_modifier_night_stalker_crippling_fear_active_Description"                             "Fearing those around you."
		"DOTA_Tooltip_modifier_night_stalker_crippling_fear_miss"                                           "Crippling Fear - Miss"
		"DOTA_Tooltip_modifier_night_stalker_crippling_fear_miss_Description"                               "Missing %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% of your attacks."
		"DOTA_Tooltip_modifier_night_stalker_crippling_fear_silence"                                        "Crippling Fear - Silence"
		"DOTA_Tooltip_modifier_night_stalker_crippling_fear_silence_Description"                            "Silenced and missing %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% of your attacks."
		
		
		//Nyx Assassin
		"DOTA_Tooltip_Facet_nyx_assassin_myrmeleomorph"														"Myrmeleomorph"
		"DOTA_Tooltip_Facet_nyx_assassin_myrmeleomorph_Description"											"Nyx Assassin adopts traits of the ant-lion, burrowing down and becoming stationary to hold the line."
		"DOTA_Tooltip_Facet_nyx_assassin_libellumorph"														"Libellumorph"
		"DOTA_Tooltip_Facet_nyx_assassin_libellumorph_Description"											"Nyx Assassin adopts traits of the dragonfly, becoming a swift hunter-killer."
		"DOTA_Tooltip_Facet_nyx_assassin_aulacimorph"														"Aulacimorph"
		"DOTA_Tooltip_Facet_nyx_assassin_aulacimorph_Description"											"Nyx Assassin adopts traits of the parasitoid wasp, infesting and controlling his foes."
		
		"DOTA_Tooltip_ability_nyx_assassin_nyxth_sense_Description"											"Nyx Assassin's vision lingers and can detect heroes within %radius% units of himself."
		"DOTA_Tooltip_ability_nyx_assassin_nyxth_sense_Facet_nyx_assassin_myrmeleomorph"					"Nyx Assassin deals %damage_amp%%% bonus damage from all sources against units within detection radius."
		"DOTA_Tooltip_ability_nyx_assassin_nyxth_sense_Facet_nyx_assassin_libellumorph"						"Nyx Assassin gains %bonus_evasion%%% evasion and %bonus_magic_resist%%% magic resistance against units within detection radius."
		"DOTA_Tooltip_ability_nyx_assassin_nyxth_sense_Facet_nyx_assassin_aulacimorph"						"When damaging enemies within detection radius with his abilities, Nyx Assassin reduces %current_mana_drain%%% of their current mana and restores his mana by that amount."
		
		"DOTA_Tooltip_ability_nyx_assassin_impale_Description"												"Rock spikes burst from the earth along a straight path. Enemy units take damage, then are hurled into the air and stunned."
		"DOTA_Tooltip_ability_nyx_assassin_impale_Facet_nyx_assassin_myrmeleomorph"							"Afflicts enemies with a %reduction_duration%s debuff that causes Nyx Asssassin to take less damage from them."
		"DOTA_Tooltip_ability_nyx_assassin_impale_Facet_nyx_assassin_libellumorph"							"Afflicts enemies with a %damage_duration%s debuff that causes them to take additional damage whenever Nyx Assassin's attacks or abilities damage them."
		"DOTA_Tooltip_ability_nyx_assassin_impale_Facet_nyx_assassin_aulacimorph"							"Enemies become infested for %infest_duration% seconds, taking damage every second, stacking independently. If the unit dies, the swarm move towards a random enemy unit within %infest_search_radius% units. Reinfesting resets the scarab's lifetime."
		"DOTA_Tooltip_ability_nyx_assassin_impale_damage_reduction"											"%DEBUFF DAMAGE REDUCTION:"
		"DOTA_Tooltip_ability_nyx_assassin_impale_damage_bonus"												"DEBUFF BONUS DAMAGE TAKEN:"
		"DOTA_Tooltip_ability_nyx_assassin_impale_infest_dps"												"INFEST DAMAGE PER SECOND:"
		"DOTA_Tooltip_modifier_nyx_assassin_impale_myrmeleomorph"											"Impale - Myrmeleomorph"
		"DOTA_Tooltip_modifier_nyx_assassin_impale_myrmeleomorph_Description"								"Damage dealt by this unit against Nyx Assassin is reduced by %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_nyx_assassin_impale_libellumorph"											"Impale - Libellumorph"
		"DOTA_Tooltip_modifier_nyx_assassin_impale_libellumorph_Description"								"When taking damage from Nyx Assassin's attacks and abilities, take another %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE% damage."
		"DOTA_Tooltip_modifier_nyx_assassin_impale_aulacimorph"												"Impale - Aulacimorph"
		"DOTA_Tooltip_modifier_nyx_assassin_impale_aulacimorph_Description"									"Taking %% damage periodically. Taking damage faster for each Scarab attached."
		
		"DOTA_Tooltip_ability_nyx_assassin_jolt_Description"												"Deals damage to a targeted enemy Hero. Instantly kills non-ancient creeps instead."
		"DOTA_Tooltip_ability_nyx_assassin_jolt_Facet_nyx_assassin_myrmeleomorph"							"Damage dealt is increased by %damage_taken_echo_pct%%% of the damage taken from the target since the last Mind Flare."
		"DOTA_Tooltip_ability_nyx_assassin_jolt_Facet_nyx_assassin_libellumorph"							"Damage dealt is increased by %damage_dealt_echo_pct%%% of the damage dealt to the target since the last Mind Flare."
		"DOTA_Tooltip_ability_nyx_assassin_jolt_Facet_nyx_assassin_aulacimorph"								"Mind Flare resets the duration of all debuffs and stacks applied by Nyx Assassin."
		"DOTA_Tooltip_ability_nyx_assassin_jolt_base_damage"												"BASE DAMAGE:"
		
		"DOTA_Tooltip_ability_nyx_assassin_spiked_carapace_Description"										"Spiked Carapace negates the first instance damage dealt by an enemy unit to Nyx Assassin, reflecting the damage and stunning them."
		"DOTA_Tooltip_ability_nyx_assassin_spiked_carapace_Facet_nyx_assassin_myrmeleomorph"				"Deals %linger_percentage%%% of the reflected damage to all units within %linger_radius% units of Nyx Assassin after %linger_duration% seconds, without stunning them. Radius increases by %linger_burrow_bonus% while Burrowed."
		"DOTA_Tooltip_ability_nyx_assassin_spiked_carapace_Facet_nyx_assassin_libellumorph"					"Spiked Carapace can trigger any number of times."
		"DOTA_Tooltip_ability_nyx_assassin_spiked_carapace_Facet_nyx_assassin_aulacimorph"					"Any time Nyx Assassin gains or loses mana, he gains Barrier per mana spent or gained."
		"DOTA_Tooltip_ability_nyx_assassin_spiked_carapace_mana_to_barrier"									"BARRIER PER MANA:"
		
		"DOTA_Tooltip_ability_nyx_assassin_vendetta_Description"											"Nyx Assassin becomes invisible and gain increased Flying movement. If Nyx Assassin attacks to break the invisibility, massive bonus damage is dealt with the attack. Nyx Assassin has %attack_range_bonus% additional attack range and a %attack_animation_bonus%%% faster attack animation for this attack."
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta_buff"													"Vendetta - Buff"
		"DOTA_Tooltip_modifier_nyx_assassin_vendetta_buff_Description"										"Gaining increased Flying movement, your next attack deals massive bonus spell damage."
		
		"DOTA_Tooltip_ability_nyx_assassin_burrow_Description"												"Nyx Assassin buries himself beneath the battlefield over a short duration. Once burrowed, Spiked Carapace instantly stuns nearby enemies when cast, the range of Mind Flare and Impale is increased, and Impale's cooldown is decreased. While burrowed, Nyx Assassin is Rooted, but gains increased armor and magic resistance as well as regenerating a percentage of his maximum health and mana every second."
		"DOTA_Tooltip_ability_nyx_assassin_burrow_bonus_attack_range"                                       "BURROW BONUS ATTACK RANGE:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_health_regen_rate"                                        "%BURROW MANA REGEN BONUS:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_impale_cooldown_reduction"                                "%BURROW IMPALE COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_magic_resist"                                             "%BURROW MAGIC RESISTANCE:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_bonus_armor"												"BURROW BONUS ARMOR:"
		"DOTA_Tooltip_ability_nyx_assassin_burrow_mana_regen_rate"                                          "%BURROW HEALTH REGEN BONUS:"
		"DOTA_Tooltip_modifier_nyx_assassin_burrowed"														"Burrow - Buff"
		"DOTA_Tooltip_modifier_nyx_assassin_burrowed_Description"											"Ability cast range increased, gaining armor, magic resistance, max health regeneration and max mana regeneration."
		
		"DOTA_Tooltip_ability_nyx_assassin_parasitize"														"Parasitize"
		"DOTA_Tooltip_ability_nyx_assassin_parasitize_Description"											"Allows Nyx Assassin to burrow into the targeted unit. The unit turns hostile to all units for the duration, but takes %dmg_reduction%%% increased damage.\nWhile Parasitizing, Nyx Assassin's abilities consume the affected unit's mana instead of Nyx Assassin, unless they have no mana remaining. Additionally, Nyx Assassin's abilities always affect the target as if they were a targeted enemy, or as if they had triggered an ability.\nCan be ended early by issuing a Stop command."
		"DOTA_Tooltip_ability_nyx_assassin_parasitize_Lore"													"Become one of us."
		"DOTA_Tooltip_ability_nyx_assassin_parasitize_duration"												"DURATION:"
		"DOTA_Tooltip_modifier_nyx_assassin_parasitize_host"												"Parasitize - Host"
		"DOTA_Tooltip_modifier_nyx_assassin_parasitize_host_Description"									"Changing teams. Parasite's spells consume your mana"
		"DOTA_Tooltip_modifier_nyx_assassin_parasitize_parasite"											"Parasitize - Parasite"
		"DOTA_Tooltip_modifier_nyx_assassin_parasitize_parasite_Description"								"Invulnerable and hidden, you regain mana from the Host."
		
		//Outworld Destroyer
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_Description"                           "Places a target unit into an astral prison. The hidden unit is invulnerable and disabled. When the astral prison implodes, it deals damage to the target and Outworld Destroyer's maximum mana is increased."
		"DOTA_Tooltip_ability_obsidian_destroyer_astral_imprisonment_mana_capacity_steal"                   "MANA CAPACITY GAIN:"
		"DOTA_Tooltip_ability_obsidian_destroyer_sanity_eclipse_Description"                                "Unleashes a psychic blast that deals damage to enemies based on the difference between your mana and the target's mana. Sanity's Eclipse can hit units trapped by Astral Imprisonment. Deals %summon_multiplier%x damage to summoned units."
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_int_gain"                             "Astral Imprisonment - Mana Gain"
		"DOTA_Tooltip_modifier_obsidian_destroyer_astral_imprisonment_int_gain_Description"                 "Maximum mana increased by %dMODIFIER_PROPERTY_EXTRA_MANA_BONUS%."
		

		//Ogre Magi
		"DOTA_Tooltip_ability_ogre_magi_dumb_luck_description"                                              "Ogre Magi's max Intelligence is 0. He receives +%mp_restore_per_str%%% bonus mana restoration, +%spell_amp_per_str%%% spell amplification for every %str_for_benefit% Strength he has."
		"DOTA_Tooltip_ability_ogre_magi_dumb_luck_mp_restore_per_str"										""
		"DOTA_Tooltip_ability_ogre_magi_dumb_luck_mp_restore_per_str"										""
		"DOTA_Tooltip_ability_ogre_magi_dumb_luck_mp_restore_per_str"										""
		"DOTA_Tooltip_ability_ogre_magi_dumb_luck_spell_amp_per_str"                                        ""
		"DOTA_Tooltip_ability_ogre_magi_unrefined_fireblast_Description"									"Casts Fireblast on the target. Its mana cost is %scepter_mana%%% of Ogre Magi's current mana."
		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_buffer_range"                                   "MULTICAST BONUS SEARCH RANGE:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_multicast_delay"                                          "MULTICAST DELAY:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_Note1"                                                    "Abilities will be cast multiple times on random targets. The Multicast targeting targets the same team as the original target. Can hit the same target multiple times."
		"DOTA_Tooltip_ability_ogre_magi_multicast_Facet_ogre_magi_fat_chance" 								"Multicast chance is increased by  %strength_mult%%% diminishingly of for every %str_for_benefit% of Ogre Magi's Strength."
		"DOTA_Tooltip_modifier_ogre_magi_bloodlust_buff"                                                    "Bloodlust - Buff"
		"DOTA_Tooltip_modifier_ogre_magi_bloodlust_buff_Description"                                        "Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_ogre_magi_smash_shield"                                                      "Fire Shield"
		"DOTA_Tooltip_modifier_ogre_magi_smash_shield_Description"                                          "Taking reduced physical damage, fireballs are sent to your attackers."

		//Omniknight
		"DOTA_Tooltip_ability_omniknight_purification_damage"                                               "DAMAGE:"
		"DOTA_Tooltip_ability_omniknight_purification_heal"                                                 "HEAL"
		"DOTA_Tooltip_ability_omniknight_purification_ebf_changes"                                      	"Heal and damage are not the same value."

		"DOTA_Tooltip_ability_omniknight_martyr"															"Repel"
		"DOTA_Tooltip_ability_omniknight_martyr_Description"												"Grants Debuff Immunity to all heroes in a small area, as well as bonus Strength and HP Regen based on the amount of Debuffs on them."
		"DOTA_Tooltip_ability_omniknight_martyr_shard_Description"											"Repel grants its target %magic_resist%%% Magic Resistance."
		"DOTA_Tooltip_ability_omniknight_martyr_Lore"														"The All Seeing One casts down his protection over those that Purist calls friend."
		"DOTA_Tooltip_ability_omniknight_martyr_base_strength"												"BASE STRENGTH:"
		"DOTA_Tooltip_ability_omniknight_martyr_base_hpregen"												"BASE HP REGEN:"
		"DOTA_Tooltip_ability_omniknight_martyr_strength_bonus"												"BONUS STRENGTH/HP REGEN PER DEBUFF:"
		"DOTA_Tooltip_ability_omniknight_martyr_magic_resist"												"%MAGIC RESISTANCE:"
		"DOTA_Tooltip_ability_omniknight_martyr_radius"														"RADIUS:"
		"DOTA_Tooltip_ability_omniknight_martyr_duration"													"DURATION:"
		
		"DOTA_Tooltip_modifier_omniknight_martyr_buff"														"Heavenly Grace"
		"DOTA_Tooltip_modifier_omniknight_martyr_buff_Description"											"Strength increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%, Health Regen increased by %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."
		
		// Oracle
		"DOTA_Tooltip_Ability_oracle_prognosticate"															"Prognosticate"
		"DOTA_Tooltip_Ability_oracle_prognosticate_Description"												"The last unit targeted with his abilities has their future foretold. Allied units take %damage_resist%%% less damage and enemy units take %damage_amp%%% more damage while affected. Prognosticate lasts until a new unit is targeted."
		"DOTA_Tooltip_modifier_oracle_prognosticate_handler"												"Prognosticate"
		"DOTA_Tooltip_modifier_oracle_prognosticate_handler_Description"									"Taking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% more (if enemy) or less (if ally) damage."
		
		//Pangolier
		"DOTA_Tooltip_Facet_pangolier_double_jump"															"Heavy Jump"	
		
		"DOTA_Tooltip_ability_pangolier_shield_crash_creep_shield"                                          "BARRIER PER CREEP:"
		"DOTA_Tooltip_ability_pangolier_shield_crash_base_shield"											"BASE BARRIER:"
		"DOTA_Tooltip_ability_pangolier_shield_crash_Description"                                           "Pangolier jumps in the air and slams back to the ground in front of his current position, damaging and slowing all enemies in a radius. He gains barrier, which increases for each enemy hit3. Creeps provide less barrier.\n\nForward movement is maintained if Shield Crash is used while Rolling Thunder is active, and allows Rolling Thunder to clear walls or cliffs."
		"DOTA_Tooltip_ability_pangolier_shield_crash_ebf_changes"                                      		"Grants base barrier and scales with creeps hit."
		"DOTA_Tooltip_ability_pangolier_shield_crash_Facet_pangolier_double_jump" 							"Pangolier's Shield Crash deals more damage and gains more barrier."
		"DOTA_Tooltip_modifier_pangolier_shield_crash_barrier"												"Shield Crash - Barrier"
		"DOTA_Tooltip_modifier_pangolier_shield_crash_barrier_Description"									"Blocking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_CONSTANT% damage."
		
		//Phoenix
		"DOTA_Tooltip_ability_phoenix_sun_ray_shard_description"                                            ""
		"DOTA_Tooltip_ability_phoenix_supernova_shard_description"											"Phoenix gains %shard_spell_amplification%%% spell amplification and can cast spells during Supernova."
		"DOTA_Tooltip_ability_phoenix_supernova_shard_spell_amplification"									"%SPELL AMPLIFICATION:"
		
		//Primal Beast
		"DOTA_Tooltip_Ability_primal_beast_colossal"														"Colossal"
		"DOTA_Tooltip_Ability_primal_beast_colossal_Description"											"Primal Beast cannot be impeded by units and deals damage every second to enemy units colliding with him."
		"DOTA_Tooltip_Ability_primal_beast_colossal_damage_per_second"										"COLLISION DAMAGE PER SECOND:"
		
		"DOTA_Tooltip_ability_primal_beast_uproar_Description"                                              "The Beast's temper passively provides bonus damage. Additionally, when Primal Beast takes a total of %damage_limit%%% of his maximum health or more in damage, he accumulates stacks of Uproar. \n\n When activated, Primal Beast releases a roar that slows surrounding enemies and grants the Beast additional attack damage and armor for %roar_duration% seconds based on his current stacks of Uproar."
		"DOTA_Tooltip_ability_primal_beast_uproar_ebf_changes"                                      		"Gains stacks based on maximum health lost, instead of a flat amount."
		"DOTA_Tooltip_modifier_primal_beast_uproar_ebf"                                                     "UPROAR"
		"DOTA_Tooltip_modifier_primal_beast_uproar_ebf_buff"                                                "ROARED"
		"DOTA_Tooltip_modifier_primal_beast_uproar_ebf_buff_Description"                                    "Gaining bonus attack damage and armor"
		"DOTA_Tooltip_modifier_primal_beast_uproar_ebf_debuff"                                              "UPROAR"
		"DOTA_Tooltip_modifier_primal_beast_uproar_ebf_debuff_Description"                                  "Slowed by Primal Beast"
		"DOTA_Tooltip_modifier_primal_beast_uproar_ebf_Description"                                         "Primal Beast deals increased damage and slows enemy"
		
		// Invoker
		"DOTA_Tooltip_ability_invoker_mastermind_Description"												"When Invoker casts an Invoked spell, he gains %spell_amp_bonus%%% spell amplification %bonus_duration% seconds."
		"DOTA_Tooltip_modifier_invoker_mastermind_innate"													"Mastermind - Buff"
		"DOTA_Tooltip_modifier_invoker_mastermind_innate_Description"										"Spell amplification increased by %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%"
		
		//Pudge
		"DOTA_Tooltip_Facet_pudge_rotten_giant"																"Rotten Giant"
		"DOTA_Tooltip_Facet_pudge_rotten_giant_Description"													"Pudges amasses the bodies of the fallen to swell his own mass, turning him into a nearly unkillable behemoth."
		"DOTA_Tooltip_Facet_pudge_flesh_carver"																"Flesh Carver"	
		"DOTA_Tooltip_Facet_pudge_flesh_carver_Description"													"Pudge's hunger now extends to the living, turning him into an inevitable slaughter of the living."
		
		"DOTA_Tooltip_ability_pudge_innate_graft_flesh_Description"                                        "Passively grants bonus strength that increases each time Pudge kills an enemy unit or it dies in his vicinity.\nFlesh Heap's stacks increase by %hero_stacks% when a creep-hero is killed and by %creep_stacks% otherwise.\nSummoned units, such as Illusions and units created by abilities, give temporary stacks of Flesh Heap, which disappear after %temporary_duration% seconds."
		"DOTA_Tooltip_ability_pudge_innate_graft_flesh_Facet_pudge_rotten_giant"							"Flesh Heap grants maximum health per stack."
		"DOTA_Tooltip_ability_pudge_innate_graft_flesh_Facet_pudge_flesh_carver"							"Flesh Heap grants base damage per stack."
		"DOTA_Tooltip_ability_pudge_innate_graft_flesh_bonus_strength"										"BONUS STRENGTH/STACK:"
		"DOTA_Tooltip_ability_pudge_innate_graft_flesh_bonus_maximum_health"								"BONUS MAX HP/STACK:"
		"DOTA_Tooltip_ability_pudge_innate_graft_flesh_bonus_base_damage"									"BONUS BASE DAMAGE/STACK:"
		"DOTA_Tooltip_ability_pudge_innate_graft_flesh_ebf_changes"                                      	"Grants temporary stacks when killing creeps and fake heroes."
		"DOTA_Tooltip_modifier_pudge_innate_graft_flesh_kills"												"Graft Flesh - Kills"
		"DOTA_Tooltip_modifier_pudge_innate_graft_flesh_kills_Description"									"Gaining %fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% strength."
		"DOTA_Tooltip_modifier_pudge_innate_graft_flesh_temporary"											"Graft Flesh - Temporary Buff"
		"DOTA_Tooltip_modifier_pudge_innate_graft_flesh_temporary_Description"								"Gaining %fMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% strength."
		
		"DOTA_Tooltip_ability_pudge_meat_hook_Description"													"Launches a bloody hook toward a unit or location. The hook will snag the first unit it encounters, dragging the unit back to Pudge. Enemies take damage or are immediately killed if its a non-ancient creep.\nIf no enemy units was hit, Meat Hook's remaining cooldown is reduced by %cooldown_reduction_pct_allied_hook%%% upon return."		
		"DOTA_Tooltip_ability_pudge_meat_hook_Facet_pudge_rotten_giant"										"Pudge gains armor and magic resistance when he casts Meat Hook, which lingers for %buff_linger_duration% seconds."
		"DOTA_Tooltip_ability_pudge_meat_hook_Facet_pudge_flesh_carver"										"Meat Hook casts instantly and reduces enemy armor and magic resistance for %debuff_linger_duration% seconds. Additionally, while traveling, Hooked enemies take Pure damage and the debuff's duration increases instead of decreasing.<br><br>Can now be Auto-Cast to cast Meat Hook on your attack target."
		"DOTA_Tooltip_ability_pudge_meat_hook_distance_to_damage"											"%DISTANCE TRAVELLED TO DAMAGE:"
		"DOTA_Tooltip_ability_pudge_meat_hook_bonus_mr"														"%BONUS MAGIC RESISTANCE:"
		"DOTA_Tooltip_ability_pudge_meat_hook_bonus_armor"													"BONUS ARMOR:"
		"DOTA_Tooltip_ability_pudge_meat_hook_mr_loss"														"%MAGIC RESISTANCE LOSS:"
		"DOTA_Tooltip_ability_pudge_meat_hook_armor_loss"													"ARMOR LOSS:"
		"DOTA_Tooltip_modifier_pudge_meat_hook_rotten_giant"												"Meat Hook - Rotten Giant"
		"DOTA_Tooltip_modifier_pudge_meat_hook_rotten_giant_Description"									"Gaining %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor and %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% magic resistance."
		"DOTA_Tooltip_modifier_pudge_meat_hook_flesh_carver"												"Meat Hook - Flesh Carver"
		"DOTA_Tooltip_modifier_pudge_meat_hook_flesh_carver_Description"									"Losing %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor and %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% magic resistance."
		
		"DOTA_Tooltip_ability_pudge_rot_Description"                                                        "A toxic cloud that deals intense damage, slows movement and reducing health restoration--harming not only enemy units but Pudge himself.\nPudge is not affected by the movement slow unless at critical health and takes reduced damage that cannot kill him."
		"DOTA_Tooltip_ability_pudge_rot_Facet_pudge_rotten_giant"											"Rot increases in damage and radius every second, reaching its maximum after %time_for_max_rot_stacks% seconds. Rot self-damage reduced."
		"DOTA_Tooltip_ability_pudge_rot_Facet_pudge_flesh_carver"											"While Rot is active, Pudge gains bonus attack damage every second, up to a max bonus attack damage after %time_for_max_stacks%s. Once Rot is deactivated, damage bonus rapidly decays over %time_for_decay%s."
		"DOTA_Tooltip_ability_pudge_rot_rot_regen_reduction"												"%HEALTH RESTORATION REDUCTION:"
		"DOTA_Tooltip_ability_pudge_rot_self_damage"														"%SELF DAMAGE TAKEN:"
		"DOTA_Tooltip_ability_pudge_rot_max_bonus_damage"													"%MAX ATTACK DAMAGE BONUS:"
		"DOTA_Tooltip_ability_pudge_rot_max_rot_power"														"%MAX BONUS RADIUS/DAMAGE:"
		"DOTA_Tooltip_modifier_pudge_rot_debuff"															"Rot"
		"DOTA_Tooltip_modifier_pudge_rot_debuff_Description"												"Slowed and taking damage"
		"DOTA_Tooltip_modifier_pudge_rot_aura"																"Rot"
		"DOTA_Tooltip_modifier_pudge_rot_aura_Description"													"Causes damage to every fighter in a radius every second."
		"DOTA_Tooltip_modifier_pudge_rot_flesh_carver"														"Rot - Flesh Carver"
		"DOTA_Tooltip_modifier_pudge_rot_flesh_carver_Description"											"Gaining %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% of base damage as bonus damage. Will rapidly decay without Rot."
		"DOTA_Tooltip_modifier_pudge_rot_rotten_giant"														"Rot - Rotten Giant"
		"DOTA_Tooltip_modifier_pudge_rot_rotten_giant_Description"											"Increased Rot radius and damage."
		
		"DOTA_Tooltip_ability_pudge_flesh_heap_Facet_pudge_rotten_giant"									"When activated, heals and Basic Dispels Pudge."
		"DOTA_Tooltip_ability_pudge_flesh_heap_Facet_pudge_flesh_carver"									"While active, Pudge gains increased phased movement speed."
		"DOTA_Tooltip_ability_pudge_flesh_heap_heal"														"HEAL:"
		"DOTA_Tooltip_ability_pudge_flesh_heap_bonus_ms"													"%BONUS MOVESPEED:"
		"DOTA_Tooltip_modifier_pudge_flesh_heap_buff"                                                       "Flesh Heap - Block"
